source,target,weight
1,105,10
1,57,5
1,127,10
1,100,5
1,81,10
1,15,10
1,16,10
155,2,10
116,2,10
2,46,10
3,96,10
3,31,10
3,234,5
3,83,10
3,37,10
3,67,10
3,80,10
3,75,10
13,3,10
135,4,10
158,4,10
4,8,10
159,4,10
5,211,5
154,5,10
5,8,10
5,87,10
5,163,5
109,5,10
5,72,10
48,5,10
5,111,5
5,62,10
105,5,10
7,80,5
48,7,10
7,154,5
7,45,5
7,1,5
7,19,5
247,7,10
7,137,5
7,101,5
7,2,5
7,63,5
50,7,10
7,91,10
37,7,10
7,86,5
7,98,10
25,7,10
18,7,10
118,7,10
40,7,10
7,71,10
7,41,5
30,7,10
61,7,10
8,182,5
8,211,5
8,70,5
8,224,5
8,208,5
8,48,5
8,154,5
8,6,5
189,8,10
8,0,5
8,26,5
166,8,10
135,8,10
8,84,10
168,8,10
8,238,5
8,54,5
8,99,5
111,8,10
162,8,10
8,89,10
8,131,5
8,247,5
163,8,10
8,47,5
8,67,5
8,226,5
237,8,10
8,87,10
8,49,5
158,8,10
106,8,10
69,8,10
8,141,5
8,61,5
42,8,10
8,125,5
15,8,10
8,104,5
8,109,5
8,40,5
8,136,5
57,8,10
20,8,10
8,234,5
116,8,10
31,8,10
11,8,10
8,119,5
43,8,10
8,83,5
105,8,10
8,55,5
8,123,5
8,71,5
8,85,5
24,8,10
8,86,5
8,102,5
8,44,5
8,97,10
8,72,5
8,9,5
8,1,5
8,80,5
38,8,10
9,117,5
9,208,5
23,9,10
9,247,5
43,9,10
50,9,10
9,137,5
9,101,5
9,71,5
9,52,5
106,9,10
9,83,5
9,140,5
42,9,10
9,99,10
9,123,5
57,9,10
9,155,5
19,9,10
9,22,5
9,40,5
9,120,5
62,9,10
9,15,5
9,81,5
9,38,5
9,96,5
9,127,5
9,86,5
30,9,10
20,9,10
9,63,5
9,37,5
9,119,5
131,9,10
9,116,5
9,105,5
9,100,5
18,9,10
9,1,5
9,3,5
9,16,5
9,46,5
9,2,5
9,54,5
68,9,10
9,32,5
48,9,10
9,80,5
103,9,10
9,5,5
13,9,10
9,11,5
9,4,5
12,9,10
9,6,5
10,147,5
10,183,5
10,230,5
10,211,5
10,69,5
10,199,10
10,72,5
10,162,5
10,20,5
10,24,5
10,48,5
10,49,5
10,238,5
10,154,5
10,125,5
10,31,5
10,3,5
11,211,5
11,57,10
11,154,10
11,146,10
11,117,10
11,24,10
11,0,5
11,219,10
11,131,10
11,104,5
11,236,10
11,168,5
11,112,10
11,147,10
11,127,10
11,99,10
11,47,5
11,84,10
11,64,10
11,118,5
11,247,10
11,13,10
11,237,10
11,88,5
11,68,5
11,54,5
11,65,10
11,50,10
11,151,5
11,137,5
11,14,5
11,87,10
11,134,5
11,136,5
11,31,10
105,11,10
11,43,10
100,11,10
11,122,5
11,81,10
11,101,5
11,19,10
11,86,5
11,71,5
11,95,10
11,97,10
11,30,10
11,85,10
11,51,10
11,80,5
11,48,10
11,72,10
11,63,5
11,12,10
11,4,5
11,3,5
11,23,10
11,18,5
11,5,5
12,163,10
12,117,5
12,211,5
12,43,10
12,208,10
12,147,10
12,48,5
113,12,10
12,154,5
12,99,10
12,42,10
12,15,10
12,88,10
12,67,10
12,102,5
12,116,5
12,19,10
12,68,5
12,31,10
12,52,5
12,131,10
111,12,10
12,127,10
12,0,5
12,20,10
12,83,5
12,1,5
12,18,5
12,119,5
12,81,10
12,37,5
12,33,5
12,79,5
12,96,10
12,85,5
12,23,5
103,12,10
12,97,10
12,80,5
12,72,10
12,6,5
12,51,10
12,13,10
12,4,5
12,5,5
12,3,5
12,2,5
13,51,5
13,211,5
13,70,5
13,208,5
13,238,5
13,132,5
13,220,5
13,195,5
13,166,10
13,62,5
13,8,5
13,146,10
13,227,5
13,143,10
13,24,10
117,13,10
13,99,10
13,65,5
13,14,5
13,162,5
13,43,10
13,89,10
13,104,5
112,13,10
113,13,10
13,114,5
13,236,10
13,60,10
13,115,5
13,147,10
13,163,5
13,67,5
13,102,5
13,47,5
13,16,5
13,237,10
13,247,10
13,91,5
13,90,5
13,29,10
13,136,5
13,154,5
13,15,5
13,52,5
13,63,5
13,0,5
127,13,10
13,56,5
13,57,10
13,100,5
13,155,5
13,141,5
13,137,5
106,13,10
13,122,5
13,93,5
13,101,5
13,20,10
13,83,5
13,26,10
120,13,10
13,140,10
103,13,10
13,131,10
13,96,10
13,84,5
13,35,5
13,5,5
13,116,5
13,157,5
13,88,10
13,31,10
13,86,5
13,87,5
13,109,5
118,13,10
13,54,5
13,38,5
13,32,5
13,46,5
13,85,10
13,119,5
13,18,10
13,49,10
13,72,10
13,81,10
111,13,10
13,23,10
13,53,5
13,95,5
13,55,5
13,40,10
13,30,10
13,98,5
13,123,5
13,71,5
13,1,5
13,19,10
13,4,5
13,7,5
13,68,10
13,6,5
13,48,10
13,105,5
13,75,5
13,50,10
13,37,10
13,61,10
13,97,5
13,42,10
13,2,5
13,80,5
13,69,10
14,148,5
14,75,10
14,137,5
14,151,10
14,52,5
14,122,5
14,2,5
14,1,5
14,86,10
14,101,5
14,17,10
15,171,5
15,234,5
15,159,5
15,211,5
15,182,5
15,196,5
15,208,5
146,15,10
113,15,10
15,48,10
15,30,10
15,123,5
15,5,5
15,69,10
15,111,5
143,15,10
15,154,5
15,109,5
15,117,5
15,236,5
15,43,10
15,2,5
147,15,10
15,162,10
15,50,10
15,84,5
15,163,5
138,15,10
131,15,10
15,47,5
15,67,10
15,247,10
119,15,10
15,99,5
15,85,5
15,0,5
15,87,10
15,51,10
15,226,5
15,4,5
15,65,5
127,15,10
15,20,10
15,54,5
15,42,5
15,3,5
15,155,5
15,38,10
15,57,10
15,19,10
15,31,10
116,15,10
105,15,10
100,15,10
