id,handle,followers_count,friends_count,isProxy
0,"JoeBiden",36409445,47,0
1,"derspiegel",3102155,353,0
2,"zeitonline",2573690,30,0
3,"tagesschau",3887085,323,0
4,"welt",1832828,273,0
5,"BILD",1959217,433,0
6,"titanic",584207,27,0
7,"ProSieben",1791398,26431,0
8,"johannesboie",17018,4117,0
9,"Die_Gruenen",650929,5904,0
10,"TheNoxier",211,700,0
11,"larsklingbeil",147581,1791,0
12,"nouripour",52858,2975,0
13,"extra3",1085081,2878,0
14,"11Freunde_de",273667,402,0
15,"mathieuvonrohr",61511,4283,0
16,"SPIEGEL_Wirtsch",96496,151,0
17,"zeitonlinesport",185181,152,0
18,"sternde",1416486,534,0
19,"janboehm",2701616,2231,0
20,"cem_oezdemir",362864,1432,0
21,"svensimon",2106,799,0
22,"SZ_Wirtschaft",92743,45,0
23,"CDU",379167,1600,0
24,"Wissing",43440,994,0
25,"HankFromHell",43792,534,0
26,"CSU",229162,698,0
27,"Griepentrog",1077,1976,0
28,"jameelajamil",1086711,399,0
29,"PrimeVideoDE",211259,259,0
30,"damitdasklaas",1864351,952,0
31,"HeikoMaas",454073,3444,0
32,"FAZ_Politik",144620,64,0
33,"FAZ_Sport",67353,58,0
34,"FAZ_Finanzen",64281,22,0
35,"FAZ_Wirtschaft",139171,59,0
36,"cduschorndorf",519,337,0
37,"DasErste",718986,248,0
38,"janfleischhauer",201499,346,0
39,"Fabi82",64,595,0
40,"PalinaRojinski",576359,222,0
41,"Kaardl",1627,323,0
42,"a_watch",106568,2891,0
43,"MichaelBroecker",22416,2509,0
44,"Europarl_EN",928298,8938,0
45,"Commanders",1391898,304,0
46,"zeitonline_pol",162209,83,0
47,"rbrinkhaus",29669,697,0
48,"OlafScholz",606712,1425,0
49,"fdp",415218,721,0
50,"MickyBeisenherz",302680,3265,0
51,"RKiesewetter",21670,8418,0
52,"Bundesliga_DE",2407049,42,0
53,"cducsubt",169712,931,0
54,"Wahlrecht_de",90183,52,0
55,"SWagenknecht",643030,64,0
56,"marcobuelow",36266,712,0
57,"MelAmann",63802,1432,0
58,"RobertaMetsola",69647,10465,0
59,"mesnnak",461,806,0
60,"SusanneHennig",29144,830,0
61,"carolinkebekus",354088,671,0
62,"bundesrat",169352,811,0
63,"DFB_Team",3283523,239,0
64,"josefheynckes",14530,1668,0
65,"gaborsteingart",41882,471,0
66,"EPP",148163,10430,0
67,"NatalieAmiri",121842,968,0
68,"Der_Postillon",1354941,188,0
69,"MarcoBuschmann",88774,2576,0
70,"MarioCzaja",9407,735,0
71,"officiallyjoko",2133393,859,0
72,"c_lindner",667309,1498,0
73,"slbst",16,128,0
74,"LucScho",2090,1111,0
75,"sportschau",703215,459,0
76,"EUErasmusPlus",143568,1345,0
77,"BitkomEvents",4609,2589,0
78,"youthpress",6608,777,0
79,"SPORTBILD",412608,964,0
80,"RegSprecherStS",974743,157,0
81,"gebauerspon",20503,2605,0
82,"maxmoerseburg",1303,740,0
83,"AuswaertigesAmt",888447,1168,0
84,"PaulZiemiak",62592,710,0
85,"ThomasOppermann",131915,201,0
86,"HansSarpei",432350,558,0
87,"jensspahn",274319,654,0
88,"ralphruthe",632684,384,0
89,"wulfschmiese",8028,1183,0
90,"SkySportDE",493342,1543,0
91,"SkySportNews",724996,408,0
92,"FabrizioRomano",12551182,2185,0
93,"ToniKroos",11077069,177,0
94,"Hr_Pape",11699,245,0
95,"spdbt",219913,745,0
96,"AnneWillTalk",82312,771,0
97,"peteraltmaier",307257,1497,0
98,"MSchweighoefer",741893,113,0
99,"wahlforschung",13504,470,0
100,"vmedick",19128,622,0
101,"JeromeBoateng",2536429,132,0
102,"Pontifex_de",680336,8,0
103,"lisapaus",21840,2483,0
104,"AuschwitzMuseum",1407210,2446,0
105,"NikolausBlome",101082,309,0
106,"BMI_Bund",185149,574,0
107,"EuropeAtHarvard",3768,784,0
108,"bube68",25,93,0
109,"Markus_Soeder",393445,283,0
110,"FynnJensen",779,463,0
111,"ArminLaschet",191116,970,0
112,"aurelmertz",155664,764,0
113,"JuliusBetschka",20342,1768,0
114,"erzaehlmirnix",168382,50,0
115,"MikeMohring",9393,855,0
116,"DIEZEIT",523827,1070,0
117,"maithi_nk",453629,1087,0
118,"latenightberlin",1325448,256,0
119,"ZDFheute",999720,326,0
120,"LutzvanderHorst",199446,207,0
121,"nohate_speech",16063,3443,0
122,"BSchweinsteiger",5040944,130,0
123,"zdfmagazin",816368,3,0
124,"EUCourtPress",116362,184,0
125,"drguidoknapp",183490,1230,0
126,"DirkVogel1",498,1417,0
127,"MFeldenkirchen",57346,983,0
128,"kschuwalski",577,326,0
129,"TechnikNewsNET",1126,205,0
130,"Europarl_EYE",19260,3548,0
131,"ABaerbockArchiv",408197,1451,0
132,"wiebkewinter",9983,780,0
133,"Plettigoal",101343,784,0
134,"lewy_official",2697256,54,0
135,"fraaanie",12697,998,0
136,"NetflixDE",2316973,853,0
137,"matshummels",2157273,189,0
138,"SerapGueler",22708,830,0
139,"marjulwagner",184,753,0
140,"heuteshow",1567836,13,0
141,"PolizeiMuenchen",498755,110,0
142,"AlexWeigand",2802,635,0
143,"ardenthistorian",92146,4893,0
144,"simulacron68",289,376,0
145,"00schneemann",8090,1739,0
146,"yasminecmbarek",26699,1817,0
147,"polenz_r",77039,1551,0
148,"IlkayGuendogan",1527615,123,0
149,"BenjaminFeyen",1438,2027,0
150,"ChialoJoe",5391,755,0
151,"OliverKahn",168107,59,0
152,"MartinaFehrlen",110,638,0
153,"androheinz",769,771,0
154,"Karl_Lauterbach",1070927,306,0
155,"Zett",22932,213,0
156,"PhilippRosset",145,140,0
157,"sundb",78281,17,0
158,"Arnd_Diringer",23197,942,0
159,"S_Schwarzkopf",23789,147,0
160,"hannes_koe",40,139,0
161,"KobanSalahdin",2481,1450,0
162,"n_roettgen",118079,2708,0
163,"_FriedrichMerz",258511,565,0
164,"sanne_wilhelm",11,74,0
165,"MB_Press",14719,230,0
166,"CNathusius",10615,1025,0
167,"NoelleDrtil",834,381,0
168,"ThePioneerDe",14688,151,0
169,"bruneyy_",14,124,0
170,"MaijuW",6,91,0
171,"RishiSunak",1600202,261,0
172,"BastiGassl",3766,1032,0
173,"DudenhofferAUTO",5689,1376,0
174,"dunkelrote",6,20,0
175,"RexhepiLeonard",24,79,0
176,"michael__92__",589,535,0
177,"siebert_julius",1490,916,0
178,"JBonerewitz",49,223,0
179,"JannesReinwand",123,169,0
180,"anjaschroeter1",650,501,0
181,"KerberLara",21,585,0
182,"KofmanMichael",425560,266,0
183,"Wohlfahrt_P",1519,309,0
184,"Koeln2020",38,133,0
185,"robintimwenz",19,95,0
186,"DetJul",77,165,0
187,"Kai72276",13,185,0
188,"KAS_USA",491,122,0
189,"M_Ostermann",20767,1859,0
190,"philipsrck",1130,410,0
191,"philippMittmann",63,89,0
192,"Eventualvorsatz",188,977,0
193,"PrellerLuca",164,468,0
194,"Boris_Rhein",2222,208,0
195,"klimaunion",4991,129,0
196,"Ampel_Watch",22724,175,0
197,"ynnck98",84,152,0
198,"TandlerVincent",26,186,0
199,"SaxoniaConserva",7482,7219,0
200,"kielerflosse",1627,1532,0
201,"ForgetfulFerret",85,231,0
202,"ChristelNieman1",328,130,0
203,"thrasomalliaras",80,75,0
204,"_lararana",261,146,0
205,"ClaraWagner111",33,587,0
206,"KlimaUnion_BW",23,8,0
207,"flo_hum",198,305,0
208,"ABaerbock",538452,76,0
209,"Wasserwurster",2,38,0
210,"stroh_manuel",114,220,0
211,"Bundeskanzler",636091,105,0
212,"helena_ringer11",36,284,0
213,"KatRnz",54,75,0
214,"GeraldWurster1",1,6,0
215,"uwe_dorendorf",5310,294,0
216,"PascalHampp",1,2,0
217,"ChristinaStumpp",652,422,0
218,"liauhoh",3,80,0
219,"ebonyplusirony",136472,1597,0
220,"Junge_Gruppe",3985,539,0
221,"SaschiKumar",595,3003,0
222,"pa_weg",141,641,0
223,"Lapesto02",144,188,0
224,"HendrikWuest",23227,1315,0
225,"FabianGramling",1784,469,0
226,"bka",118325,307,0
227,"csu_bt",18577,188,0
228,"Benam1893",32,91,0
229,"passtgut",36,395,0
230,"coolservativ",10469,1160,0
231,"VolkmerFlorian",347,186,0
232,"_LilliFischer",8597,2016,0
233,"tmdvdhll_",119,1306,0
234,"EP_President",377867,171,0
235,"HagelManuel",2502,2288,0
236,"Volksverpetzer",345456,788,0
237,"nicolabeerfdp",19545,5072,0
238,"kriegundfreitag",110544,473,0
239,"watch_union",71258,3651,0
240,"Chris_Ba97",8,42,0
241,"Moschovidis",8658,3436,0
242,"FHoppermann",2376,666,0
243,"metal_zebra15",7,42,0
244,"leni01081955",2384,9,0
245,"filandresen",325,797,0
246,"maxi_kosi",685,807,0
247,"annewill",99299,999,0
248,"Slambulance1",3,169,0
249,"ApollineRms",576,660,0
250,"AlfonsMaurer1",477,1301,0
251,"The_NaCl_Boy",13,50,0
252,"Gretagrimm_",2,90,0
253,"LukasM591",296,313,0
